,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.671692 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2528512:2528768, ack 1, win 502, options [nop,nop,TS val 3493888791 ecr 2825817824], length 256
19:05:10.730444 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2559584:2559840, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730483 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2559840:2560096, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730521 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2560096:2560352, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730563 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2560352:2560608, ack 1, win 502, options [nop,nop,TS val 3493888849 ecr 2825817884], length 256
19:05:10.730602 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2560608:2560864, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730658 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2560864:2561120, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730697 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2561120:2561376, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730736 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2561376:2561632, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730779 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2561632:2561888, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730817 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2561888:2562144, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730856 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2562144:2562400, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730894 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2562400:2562656, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730933 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2562656:2562912, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.730974 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2562912:2563168, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731012 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2563168:2563424, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731052 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2563424:2563680, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731109 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2563680:2563936, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731149 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2563936:2564192, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731189 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2564192:2564448, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731228 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2564448:2564704, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731281 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2564704:2564960, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731326 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2564960:2565216, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731386 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2565216:2565472, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731441 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2565472:2565728, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731479 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2565728:2565984, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731517 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2565984:2566240, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731556 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2566240:2566496, ack 1, win 502, options [nop,nop,TS val 3493888850 ecr 2825817884], length 256
19:05:10.731598 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2566496:2566752, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731639 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2566752:2567008, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731678 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2567008:2567264, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731717 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2567264:2567520, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731758 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2567520:2567776, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731801 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2567776:2568032, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731840 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2568032:2568288, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731879 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2568288:2568544, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731921 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2568544:2568800, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.731960 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2568800:2569056, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732019 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2569056:2569312, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732085 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2569312:2569568, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732143 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2569568:2569824, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732192 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2569824:2570080, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732233 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2570080:2570336, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732276 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2570336:2570592, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732315 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2570592:2570848, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732379 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2570848:2571104, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732438 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2571104:2571360, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817884], length 256
19:05:10.732464 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2558304, win 152, options [nop,nop,TS val 2825817887 ecr 3493888849], length 0
19:05:10.732499 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2570336, win 58, options [nop,nop,TS val 2825817887 ecr 3493888849], length 0
19:05:10.732567 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2571360:2571952, ack 1, win 502, options [nop,nop,TS val 3493888851 ecr 2825817887], length 592
19:05:10.732610 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2571952:2572208, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.732651 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2572208:2572464, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.732692 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2572464:2572720, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.732723 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2571952, win 46, options [nop,nop,TS val 2825817887 ecr 3493888851], length 0
19:05:10.732776 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2572720:2573136, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 416
19:05:10.732825 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2573136:2573392, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.732881 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2573392:2573648, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.732937 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2573648:2573904, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.732982 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2573904:2574160, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733021 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2574160:2574416, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733059 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2574416:2574672, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733101 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2574672:2574928, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733124 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2573648, win 33, options [nop,nop,TS val 2825817887 ecr 3493888852], length 0
19:05:10.733162 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2574928:2575344, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 416
19:05:10.733205 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2575344:2575600, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733245 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2575600:2575856, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733284 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2575856:2576112, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733324 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2576112:2576368, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733363 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2576368:2576624, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733403 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2576624:2576880, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733442 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2576880:2577136, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733485 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2577136:2577392, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733539 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2577392:2577648, ack 1, win 502, options [nop,nop,TS val 3493888852 ecr 2825817887], length 256
19:05:10.733850 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2577648, win 2, options [nop,nop,TS val 2825817888 ecr 3493888852], length 0
19:05:10.733863 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2577648:2577904, ack 1, win 502, options [nop,nop,TS val 3493888853 ecr 2825817888], length 256
19:05:10.775457 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2577904, win 0, options [nop,nop,TS val 2825817930 ecr 3493888853], length 0
19:05:10.782580 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2577904, win 275, options [nop,nop,TS val 2825817937 ecr 3493888853], length 0
19:05:10.782628 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2577904:2578544, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 640
19:05:10.782809 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2578544:2578960, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 416
19:05:10.782862 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2578960:2579216, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.782909 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2579216:2579472, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.782953 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2579472:2579728, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.782997 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2579728:2579984, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783040 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2579984:2580240, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783094 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2580240:2580496, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783137 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2580496:2580752, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783179 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2580752:2581008, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783222 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2581008:2581264, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783267 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2581264:2581520, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783310 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2581520:2581776, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783350 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2581776:2582032, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783392 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2582032:2582288, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783434 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2582288:2582544, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783475 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2582544:2582800, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783518 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2582800:2583056, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783558 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2583056:2583312, ack 1, win 502, options [nop,nop,TS val 3493888902 ecr 2825817937], length 256
19:05:10.783596 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2583312:2583568, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783636 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2583568:2583824, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783675 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2583824:2584080, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783715 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2584080:2584336, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783754 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2584336:2584592, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783793 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2584592:2584848, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783832 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2584848:2585104, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783873 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2585104:2585360, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783912 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2585360:2585616, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783951 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2585616:2585872, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.783994 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2585872:2586128, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784032 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2586128:2586384, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784070 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2586384:2586640, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784112 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2586640:2586896, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784150 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2586896:2587152, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784189 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2587152:2587408, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784231 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2587408:2587664, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784299 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2587664:2587920, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784359 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2587920:2588176, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784404 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2588176:2588432, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784456 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2588432:2588688, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784506 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2588688:2588944, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784549 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2588944:2589200, ack 1, win 502, options [nop,nop,TS val 3493888903 ecr 2825817937], length 256
19:05:10.784590 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2589200:2589456, ack 1, win 502, options [nop,nop,TS val 3493888904 ecr 2825817937], length 256
19:05:10.784629 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2589456:2589712, ack 1, win 502, options [nop,nop,TS val 3493888904 ecr 2825817937], length 256
19:05:10.784679 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2589712:2589968, ack 1, win 502, options [nop,nop,TS val 3493888904 ecr 2825817937], length 256
19:05:10.784718 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2589968:2590224, ack 1, win 502, options [nop,nop,TS val 3493888904 ecr 2825817937], length 256
19:05:10.784732 IP 162.243.190.66.60588 > lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 2588432, win 193, options [nop,nop,TS val 2825817939 ecr 3493888902], length 0
19:05:10.784800 IP lamp-ubuntu-s-1vcpu-1gb-tor1-01.ssh > 162.243.190.66.60588: Flags [P.], seq 2590224:2590640, ack 1, win 502, options [nop,nop,TS val 3493888904 ecr 2825817939], length 416
